person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
eow: thursday, september 11,1890,cause of death: struck by train,struck by train,1890-09-11,1890,False,old colony railroad police department, rr
eow: thursday, september 18,1890,cause of death: gunfire,gunfire,1890-09-18,1890,False,denver police department, co
eow: saturday, september 20,1890,cause of death: gunfire,gunfire,1890-09-20,1890,False,el reno police department, ok
eow: sunday, september 21,1890,cause of death: gunfire,gunfire,1890-09-21,1890,False,knoxville police department, tn
eow: monday, october 6,1890,cause of death: gunfire,gunfire,1890-10-06,1890,False,st. louis metropolitan police department, mo
eow: thursday, october 16,1890,cause of death: gunfire,gunfire,1890-10-16,1890,False,new orleans police department, la
eow: friday, october 17,1890,cause of death: gunfire,gunfire,1890-10-17,1890,False,falmouth police department, ky
eow: saturday, november 1,1890,cause of death: gunfire,gunfire,1890-11-01,1890,False,helenwood police department, tn
eow: wednesday, november 5,1890,cause of death: gunfire,gunfire,1890-11-05,1890,False,marion county sheriff's department, tx
eow: monday, november 17,1890,cause of death: gunfire,gunfire,1890-11-17,1890,False,pennsylvania state constable - huntingdon county, pa
eow: friday, november 21,1890,cause of death: gunfire,gunfire,1890-11-21,1890,False,united states department of justice - united states marshals service, us
eow: saturday, november 29,1890,cause of death: heart attack,heart attack,1890-11-29,1890,False,louisville police department, ky
eow: monday, december 1,1890,cause of death: gunfire,gunfire,1890-12-01,1890,False,guin police department, al
eow: monday, december 1,1890,cause of death: gunfire,gunfire,1890-12-01,1890,False,united states department of justice - united states marshals service, us
eow: monday, december 15,1890,cause of death: gunfire,gunfire,1890-12-15,1890,False,united states department of justice - united states marshals service, us
eow: monday, december 15,1890,cause of death: gunfire,gunfire,1890-12-15,1890,False,united states department of the interior - bureau of indian affairs - division of law enforcement, us
eow: monday, december 15,1890,cause of death: gunfire,gunfire,1890-12-15,1890,False,texas department of criminal justice, tx
eow: tuesday, december 16,1890,cause of death: gunfire,gunfire,1890-12-16,1890,False,united states department of the interior - bureau of indian affairs - division of law enforcement, us
eow: thursday, december 18,1890,cause of death: stabbed,stabbed,1890-12-18,1890,False,hardinsburg police department, ky
eow: friday, december 19,1890,cause of death: gunfire,gunfire,1890-12-19,1890,False,united states department of the interior - bureau of indian affairs - division of law enforcement, us
eow: friday, december 19,1890,cause of death: gunfire,gunfire,1890-12-19,1890,False,chattanooga police department, tn
eow: sunday, december 21,1890,cause of death: gunfire,gunfire,1890-12-21,1890,False,kennett police department, mo
eow: thursday, december 25,1890,cause of death: gunfire,gunfire,1890-12-25,1890,False,gainesville police department, ga
eow: friday, december 26,1890,cause of death: gunfire,gunfire,1890-12-26,1890,False,oklahoma county sheriff's office, ok
eow: friday, january 16,1891,cause of death: gunfire,gunfire,1891-01-16,1891,False,denver police department, co
eow: saturday, january 17,1891,cause of death: gunfire,gunfire,1891-01-17,1891,False,bells police department, tx
eow: tuesday, january 20,1891,cause of death: gunfire,gunfire,1891-01-20,1891,False,rogers police department, ar
eow: thursday, january 22,1891,cause of death: gunfire,gunfire,1891-01-22,1891,False,pierce city police department, mo
eow: friday, january 30,1891,cause of death: gunfire,gunfire,1891-01-30,1891,False,wilmington police department, de
eow: friday, february 6,1891,cause of death: gunfire (accidental),gunfire (accidental),1891-02-06,1891,False,united states department of justice - united states marshals service, us
eow: monday, february 16,1891,cause of death: gunfire,gunfire,1891-02-16,1891,False,junction city police department, ky
eow: thursday, february 26,1891,cause of death: drowned,drowned,1891-02-26,1891,False,united states department of justice - united states marshals service, us
eow: sunday, march 15,1891,cause of death: gunfire,gunfire,1891-03-15,1891,False,houston police department, tx
eow: wednesday, march 18,1891,cause of death: gunfire,gunfire,1891-03-18,1891,False,tyler county sheriff's office, tx
eow: friday, march 20,1891,cause of death: gunfire,gunfire,1891-03-20,1891,False,united states department of the treasury - office of internal revenue, us
eow: monday, march 23,1891,cause of death: gunfire,gunfire,1891-03-23,1891,False,red river county sheriff's department, tx
eow: friday, march 27,1891,cause of death: duty related illness,duty related illness,1891-03-27,1891,False,chicago police department, il
eow: tuesday, march 31,1891,cause of death: stabbed,stabbed,1891-03-31,1891,False,kenton police department, oh
eow: saturday, april 4,1891,cause of death: gunfire,gunfire,1891-04-04,1891,False,orange police department, tx
eow: sunday, april 19,1891,cause of death: gunfire,gunfire,1891-04-19,1891,False,yavapai county constable's office, az
eow: friday, may 8,1891,cause of death: gunfire,gunfire,1891-05-08,1891,False,united states department of justice - united states marshals service, us
eow: saturday, may 9,1891,cause of death: gunfire,gunfire,1891-05-09,1891,False,chester police department, sc
eow: saturday, may 16,1891,cause of death: gunfire,gunfire,1891-05-16,1891,False,nassau county sheriff's office, fl
eow: saturday, may 16,1891,cause of death: gunfire,gunfire,1891-05-16,1891,False,united states department of the interior - bureau of indian affairs - division of law enforcement, us
eow: wednesday, may 20,1891,cause of death: gunfire,gunfire,1891-05-20,1891,False,youngstown police department, oh
eow: saturday, may 23,1891,cause of death: gunfire,gunfire,1891-05-23,1891,False,strafford county sheriff's office, nh
eow: monday, may 25,1891,cause of death: gunfire,gunfire,1891-05-25,1891,False,logan police department, ks
eow: tuesday, may 26,1891,cause of death: gunfire (accidental),gunfire (accidental),1891-05-26,1891,False,atlanta police department, ga
eow: wednesday, may 27,1891,cause of death: gunfire,gunfire,1891-05-27,1891,False,madison county detention center, ky
eow: saturday, may 30,1891,cause of death: gunfire,gunfire,1891-05-30,1891,False,bradford county sheriff's office, fl
eow: tuesday, june 9,1891,cause of death: gunfire,gunfire,1891-06-09,1891,False,jack county sheriff's department, tx
eow: tuesday, june 16,1891,cause of death: gunfire,gunfire,1891-06-16,1891,False,pocahontas police department, va
eow: friday, june 19,1891,cause of death: struck by streetcar,struck by streetcar,1891-06-19,1891,False,st. paul police department, mn
eow: thursday, june 25,1891,cause of death: heart attack,heart attack,1891-06-25,1891,False,virginia city police department, nv
eow: thursday, june 25,1891,cause of death: gunfire,gunfire,1891-06-25,1891,False,la salle county sheriff's office, tx
eow: wednesday, july 1,1891,cause of death: gunfire,gunfire,1891-07-01,1891,False,des moines police department, ia
eow: friday, july 3,1891,cause of death: gunfire,gunfire,1891-07-03,1891,False,kern county sheriff's department, ca
eow: wednesday, july 8,1891,cause of death: gunfire,gunfire,1891-07-08,1891,False,mccomb police department, ms
eow: thursday, july 9,1891,cause of death: gunfire (accidental),gunfire (accidental),1891-07-09,1891,False,ellis county poor farm, tx
eow: wednesday, july 15,1891,cause of death: struck by train,struck by train,1891-07-15,1891,False,baltimore city police department, md
eow: monday, july 20,1891,cause of death: assault,assault,1891-07-20,1891,False,galveston county sheriff's office, tx
eow: sunday, july 26,1891,cause of death: gunfire,gunfire,1891-07-26,1891,False,presidio county sheriff's department, tx
eow: sunday, july 26,1891,cause of death: gunfire,gunfire,1891-07-26,1891,False,norton police department, va
eow: sunday, july 26,1891,cause of death: gunfire (accidental),gunfire (accidental),1891-07-26,1891,False,king county sheriff's office, wa
eow: monday, august 10,1891,cause of death: gunfire,gunfire,1891-08-10,1891,False,chillicothe police department, oh
eow: friday, august 14,1891,cause of death: gunfire,gunfire,1891-08-14,1891,False,presidio county sheriff's department, tx
eow: wednesday, august 19,1891,cause of death: gunfire,gunfire,1891-08-19,1891,False,united states department of justice - united states marshals service, us
eow: sunday, august 23,1891,cause of death: gunfire,gunfire,1891-08-23,1891,False,united states department of justice - united states marshals service, us
eow: tuesday, september 1,1891,cause of death: stabbed,stabbed,1891-09-01,1891,False,new york police department, ny
eow: thursday, september 10,1891,cause of death: drowned,drowned,1891-09-10,1891,False,metropolitan police department, dc
eow: friday, september 11,1891,cause of death: gunfire,gunfire,1891-09-11,1891,False,san francisco police department, ca
eow: sunday, september 13,1891,cause of death: gunfire,gunfire,1891-09-13,1891,False,pulaski county sheriff's department, ky
eow: wednesday, september 23,1891,cause of death: assault,assault,1891-09-23,1891,False,united states department of justice - united states marshals service, us
eow: thursday, october 1,1891,cause of death: gunfire,gunfire,1891-10-01,1891,False,united states department of justice - united states marshals service, us
eow: saturday, october 10,1891,cause of death: gunfire,gunfire,1891-10-10,1891,False,chicago police department, il
eow: wednesday, october 28,1891,cause of death: gunfire,gunfire,1891-10-28,1891,False,united states department of justice - united states marshals service, us
eow: friday, october 30,1891,cause of death: stabbed,stabbed,1891-10-30,1891,False,united states department of justice - united states marshals service, us
eow: saturday, november 14,1891,cause of death: gunfire,gunfire,1891-11-14,1891,False,amsterdam police department, ny
eow: friday, november 20,1891,cause of death: gunfire,gunfire,1891-11-20,1891,False,united states department of justice - united states marshals service, us
eow: saturday, november 21,1891,cause of death: gunfire,gunfire,1891-11-21,1891,False,knott county sheriff's department, ky
eow: friday, november 27,1891,cause of death: stabbed,stabbed,1891-11-27,1891,False,metropolitan police department, dc
eow: friday, november 27,1891,cause of death: gunfire,gunfire,1891-11-27,1891,False,bowie county sheriff's department, tx
eow: tuesday, december 8,1891,cause of death: gunfire,gunfire,1891-12-08,1891,False,united states department of justice - united states marshals service, us
eow: saturday, december 26,1891,cause of death: stabbed,stabbed,1891-12-26,1891,False,sharpsburg marshal's office, ky
eow: tuesday, december 29,1891,cause of death: gunfire,gunfire,1891-12-29,1891,False,philadelphia police department, pa
eow: friday, january 1,1892,cause of death: gunfire,gunfire,1892-01-01,1892,False,kansas city police department, mo
eow: saturday, january 2,1892,cause of death: gunfire (accidental),gunfire (accidental),1892-01-02,1892,False,chicago police department, il
eow: tuesday, january 5,1892,cause of death: gunfire,gunfire,1892-01-05,1892,False,seward county sheriff's office, ks
eow: friday, january 8,1892,cause of death: assault,assault,1892-01-08,1892,False,roanoke city police department, va
eow: saturday, january 9,1892,cause of death: gunfire,gunfire,1892-01-09,1892,False,pierce city police department, mo
eow: saturday, january 23,1892,cause of death: gunfire,gunfire,1892-01-23,1892,False,fort scott police department, ks
eow: thursday, january 28,1892,cause of death: gunfire,gunfire,1892-01-28,1892,False,uvalde county sheriff's office, tx
eow: sunday, january 31,1892,cause of death: gunfire,gunfire,1892-01-31,1892,False,united states department of justice - united states marshals service, us
eow: saturday, february 6,1892,cause of death: gunfire,gunfire,1892-02-06,1892,False,fannin county sheriff's office, tx
eow: wednesday, february 10,1892,cause of death: gunfire (accidental),gunfire (accidental),1892-02-10,1892,False,chicago police department, il
eow: saturday, february 13,1892,cause of death: gunfire,gunfire,1892-02-13,1892,False,desoto county sheriff's office, fl
eow: saturday, february 20,1892,cause of death: gunfire,gunfire,1892-02-20,1892,False,united states department of justice - united states marshals service, us
eow: monday, february 29,1892,cause of death: gunfire,gunfire,1892-02-29,1892,False,whitley county sheriff's department, ky
eow: monday, february 29,1892,cause of death: gunfire,gunfire,1892-02-29,1892,False,dexter police department, mo
eow: tuesday, march 1,1892,cause of death: gunfire,gunfire,1892-03-01,1892,False,bowie county sheriff's department, tx
eow: friday, march 4,1892,cause of death: gunfire,gunfire,1892-03-04,1892,False,united states department of justice - united states marshals service, us
eow: saturday, march 12,1892,cause of death: gunfire,gunfire,1892-03-12,1892,False,taney county sheriff's office, mo
eow: wednesday, march 16,1892,cause of death: gunfire,gunfire,1892-03-16,1892,False,reading coal and iron police department, pa
eow: tuesday, march 22,1892,cause of death: gunfire,gunfire,1892-03-22,1892,False,texas rangers, tx
eow: friday, march 25,1892,cause of death: stabbed,stabbed,1892-03-25,1892,False,pennsylvania department of corrections, pa
eow: thursday, march 31,1892,cause of death: gunfire,gunfire,1892-03-31,1892,False,leslie county sheriff's office, ky
eow: sunday, april 3,1892,cause of death: gunfire,gunfire,1892-04-03,1892,False,united states department of justice - united states marshals service, us
eow: sunday, april 3,1892,cause of death: gunfire,gunfire,1892-04-03,1892,False,whitman county sheriff's department, wa
eow: monday, april 4,1892,cause of death: gunfire,gunfire,1892-04-04,1892,False,new orleans police department, la
eow: monday, april 4,1892,cause of death: gunfire,gunfire,1892-04-04,1892,False,charlotte police department, nc
eow: saturday, april 9,1892,cause of death: gunfire,gunfire,1892-04-09,1892,False,vigo county sheriff's office, in
eow: monday, april 11,1892,cause of death: gunfire (accidental),gunfire (accidental),1892-04-11,1892,False,cameron county sheriff's office, tx
eow: thursday, april 21,1892,cause of death: gunfire,gunfire,1892-04-21,1892,False,monroe county sheriff's office, tn
eow: saturday, april 23,1892,cause of death: heart attack,heart attack,1892-04-23,1892,False,frankfort police department, ky
eow: thursday, april 28,1892,cause of death: gunfire,gunfire,1892-04-28,1892,False,united states department of justice - united states marshals service, us
eow: sunday, may 1,1892,cause of death: accidental,accidental,1892-05-01,1892,False,new york police department, ny
eow: friday, may 6,1892,cause of death: gunfire,gunfire,1892-05-06,1892,False,corpus christi police department, tx
eow: monday, may 9,1892,cause of death: assault,assault,1892-05-09,1892,False,toccoa police department, ga
eow: monday, may 9,1892,cause of death: gunfire,gunfire,1892-05-09,1892,False,united states department of justice - united states marshals service, us
eow: thursday, may 12,1892,cause of death: gunfire,gunfire,1892-05-12,1892,False,burnet police department, tx
eow: saturday, may 21,1892,cause of death: assault,assault,1892-05-21,1892,False,perry county sheriff's office, ar
eow: tuesday, may 24,1892,cause of death: gunfire,gunfire,1892-05-24,1892,False,dallas police department, tx
eow: sunday, may 29,1892,cause of death: gunfire,gunfire,1892-05-29,1892,False,bibb county sheriff's office, ga
eow: wednesday, june 8,1892,cause of death: drowned,drowned,1892-06-08,1892,False,mclennan county convict farm, tx
eow: wednesday, june 15,1892,cause of death: gunfire,gunfire,1892-06-15,1892,False,baxter county sheriff's department, ar
eow: friday, june 17,1892,cause of death: gunfire,gunfire,1892-06-17,1892,False,dallas police department, tx
eow: wednesday, june 22,1892,cause of death: gunfire,gunfire,1892-06-22,1892,False,rogers park police department, il
eow: wednesday, june 22,1892,cause of death: gunfire,gunfire,1892-06-22,1892,False,montgomery police department, wv
eow: thursday, june 23,1892,cause of death: gunfire,gunfire,1892-06-23,1892,False,easley police department, sc
eow: friday, june 24,1892,cause of death: gunfire,gunfire,1892-06-24,1892,False,butte police department, mt
eow: thursday, june 30,1892,cause of death: gunfire,gunfire,1892-06-30,1892,False,fort worth police department, tx
eow: saturday, july 2,1892,cause of death: stabbed,stabbed,1892-07-02,1892,False,tucson police department, az
eow: monday, july 4,1892,cause of death: gunfire,gunfire,1892-07-04,1892,False,kiowa county sheriff's office, ks
eow: tuesday, july 5,1892,cause of death: gunfire,gunfire,1892-07-05,1892,False,donley county constable's office - precinct 2, tx
eow: tuesday, july 5,1892,cause of death: gunfire,gunfire,1892-07-05,1892,False,texas and southwestern cattle raisers association, tx
eow: thursday, july 21,1892,cause of death: gunfire,gunfire,1892-07-21,1892,False,united states department of justice - united states marshals service, us
eow: tuesday, july 26,1892,cause of death: gunfire,gunfire,1892-07-26,1892,False,montgomery county sheriff's office, ky
eow: tuesday, july 26,1892,cause of death: gunfire,gunfire,1892-07-26,1892,False,montgomery county regional jail, ky
eow: saturday, july 30,1892,cause of death: stabbed,stabbed,1892-07-30,1892,False,tacoma police department, wa
eow: saturday, august 6,1892,cause of death: gunfire,gunfire,1892-08-06,1892,False,tulare county sheriff's office, ca
eow: saturday, august 6,1892,cause of death: gunfire,gunfire,1892-08-06,1892,False,mcdonald borough police department, pa
eow: wednesday, august 10,1892,cause of death: stabbed,stabbed,1892-08-10,1892,False,eugene town marshal's office, in
eow: wednesday, august 10,1892,cause of death: gunfire,gunfire,1892-08-10,1892,False,new orleans police department, la
eow: sunday, august 21,1892,cause of death: gunfire,gunfire,1892-08-21,1892,False,cameron county sheriff's office, tx
eow: friday, september 2,1892,cause of death: gunfire,gunfire,1892-09-02,1892,False,winfield police department, ks
eow: tuesday, september 6,1892,cause of death: gunfire,gunfire,1892-09-06,1892,False,chicago police department, il
eow: wednesday, september 7,1892,cause of death: gunfire,gunfire,1892-09-07,1892,False,chicago police department, il
eow: monday, september 12,1892,cause of death: gunfire,gunfire,1892-09-12,1892,False,williamson county sheriff's office, tx
eow: tuesday, september 13,1892,cause of death: gunfire,gunfire,1892-09-13,1892,False,united states department of justice - united states marshals service, us
eow: sunday, september 18,1892,cause of death: gunfire,gunfire,1892-09-18,1892,False,cairo police department, il
eow: thursday, september 29,1892,cause of death: gunfire,gunfire,1892-09-29,1892,False,lexington police department, mo
eow: wednesday, october 5,1892,cause of death: gunfire,gunfire,1892-10-05,1892,False,coffeyville police department, ks
eow: friday, october 7,1892,cause of death: gunfire,gunfire,1892-10-07,1892,False,united states department of the treasury - office of internal revenue, us
eow: friday, october 7,1892,cause of death: gunfire,gunfire,1892-10-07,1892,False,united states department of the treasury - office of internal revenue - division of revenue agents, us
eow: wednesday, october 19,1892,cause of death: gunfire,gunfire,1892-10-19,1892,False,united states department of justice - united states marshals service, us
eow: tuesday, october 25,1892,cause of death: gunfire,gunfire,1892-10-25,1892,False,heath springs police department, sc
eow: thursday, october 27,1892,cause of death: gunfire,gunfire,1892-10-27,1892,False,united states department of the treasury - office of internal revenue, us
eow: thursday, november 3,1892,cause of death: gunfire,gunfire,1892-11-03,1892,False,new york police department, ny
eow: thursday, november 3,1892,cause of death: gunfire,gunfire,1892-11-03,1892,False,united states department of justice - united states marshals service, us
eow: monday, november 14,1892,cause of death: gunfire,gunfire,1892-11-14,1892,False,richmond county sheriff's office, nc
eow: sunday, november 27,1892,cause of death: gunfire,gunfire,1892-11-27,1892,False,gordon county sheriff's office, ga
eow: thursday, december 1,1892,cause of death: gunfire,gunfire,1892-12-01,1892,False,snowflake police department, az
eow: saturday, december 3,1892,cause of death: gunfire,gunfire,1892-12-03,1892,False,franklin county constable's office - precinct 3, tx
eow: saturday, december 10,1892,cause of death: gunfire,gunfire,1892-12-10,1892,False,butler county sheriff's office, al
eow: tuesday, december 13,1892,cause of death: gunfire,gunfire,1892-12-13,1892,False,united states department of justice - united states marshals service, us
eow: friday, december 16,1892,cause of death: gunfire,gunfire,1892-12-16,1892,False,morris county constable's office - precinct 3, tx
eow: sunday, december 18,1892,cause of death: gunfire,gunfire,1892-12-18,1892,False,hunt county sheriff's office, tx
eow: monday, december 19,1892,cause of death: gunfire,gunfire,1892-12-19,1892,False,wise county constable's office - precinct 2, tx
eow: saturday, december 24,1892,cause of death: gunfire,gunfire,1892-12-24,1892,False,lamasco police department, ky
eow: wednesday, december 28,1892,cause of death: gunfire,gunfire,1892-12-28,1892,False,van zandt county sheriff's office, tx
eow: tuesday, january 3,1893,cause of death: gunfire,gunfire,1893-01-03,1893,False,magoffin county constable's office, ky
eow: friday, january 6,1893,cause of death: gunfire,gunfire,1893-01-06,1893,False,charleston county magistrate's office, sc
eow: tuesday, january 10,1893,cause of death: gunfire,gunfire,1893-01-10,1893,False,cincinnati police department, oh
eow: saturday, january 14,1893,cause of death: gunfire,gunfire,1893-01-14,1893,False,jackson police department, ms
eow: tuesday, january 24,1893,cause of death: gunfire,gunfire,1893-01-24,1893,False,denver police department, co
eow: saturday, february 4,1893,cause of death: drowned,drowned,1893-02-04,1893,False,butte county sheriff's office, ca
eow: monday, february 6,1893,cause of death: gunfire,gunfire,1893-02-06,1893,False,duval county constable's office - precinct 2, tx
eow: thursday, february 9,1893,cause of death: gunfire,gunfire,1893-02-09,1893,False,new orleans police department, la
eow: thursday, february 16,1893,cause of death: gunfire,gunfire,1893-02-16,1893,False,united states department of justice - united states marshals service, us
eow: sunday, march 12,1893,cause of death: gunfire,gunfire,1893-03-12,1893,False,oakland police department, ca
eow: saturday, march 18,1893,cause of death: gunfire,gunfire,1893-03-18,1893,False,campbell county sheriff's office, tn
eow: monday, march 27,1893,cause of death: poisoned,poisoned,1893-03-27,1893,False,michigan department of corrections, mi
eow: saturday, april 8,1893,cause of death: gunfire,gunfire,1893-04-08,1893,False,carlisle borough police department, pa
eow: thursday, april 20,1893,cause of death: gunfire,gunfire,1893-04-20,1893,False,tennessee department of correction, tn
eow: saturday, april 22,1893,cause of death: gunfire,gunfire,1893-04-22,1893,False,trinity county constable's office - precinct 1, tx
eow: tuesday, may 9,1893,cause of death: gunfire,gunfire,1893-05-09,1893,False,meagher county sheriff's department, mt
eow: saturday, may 13,1893,cause of death: gunfire,gunfire,1893-05-13,1893,False,meagher county sheriff's department, mt
eow: monday, may 15,1893,cause of death: gunfire,gunfire,1893-05-15,1893,False,morris county constable's office - precinct 4, tx
eow: tuesday, may 16,1893,cause of death: gunfire,gunfire,1893-05-16,1893,False,st. louis metropolitan police department, mo
eow: monday, may 22,1893,cause of death: gunfire,gunfire,1893-05-22,1893,False,henry county sheriff's office, al
eow: thursday, june 8,1893,cause of death: struck by train,struck by train,1893-06-08,1893,False,chicago police department, il
eow: saturday, june 24,1893,cause of death: gunfire,gunfire,1893-06-24,1893,False,united states department of justice - united states marshals service, us
eow: friday, june 30,1893,cause of death: gunfire,gunfire,1893-06-30,1893,False,nevada county sheriff's office, ca
eow: friday, june 30,1893,cause of death: gunfire,gunfire,1893-06-30,1893,False,texas rangers, tx
eow: tuesday, july 4,1893,cause of death: gunfire,gunfire,1893-07-04,1893,False,hillsborough county sheriff's office, fl
eow: wednesday, july 12,1893,cause of death: gunfire,gunfire,1893-07-12,1893,False,united states department of justice - united states marshals service, us
eow: saturday, july 29,1893,cause of death: gunfire,gunfire,1893-07-29,1893,False,parkland police department, ky
eow: tuesday, august 1,1893,cause of death: gunfire,gunfire,1893-08-01,1893,False,syracuse police department, ny
eow: wednesday, august 2,1893,cause of death: gunfire,gunfire,1893-08-02,1893,False,dallas county constable's office - precinct 8, tx
eow: tuesday, august 8,1893,cause of death: gunfire,gunfire,1893-08-08,1893,False,victoria police department, tx
eow: thursday, august 10,1893,cause of death: gunfire,gunfire,1893-08-10,1893,False,united states department of justice - united states marshals service, us
eow: friday, august 18,1893,cause of death: gunfire,gunfire,1893-08-18,1893,False,aiken department of public safety, sc
eow: tuesday, august 22,1893,cause of death: gunfire,gunfire,1893-08-22,1893,False,united states department of justice - united states marshals service, us
eow: friday, september 1,1893,cause of death: gunfire,gunfire,1893-09-01,1893,False,martins ferry police department, oh
eow: friday, september 1,1893,cause of death: gunfire,gunfire,1893-09-01,1893,False,united states department of justice - united states marshals service, us
eow: saturday, september 2,1893,cause of death: gunfire,gunfire,1893-09-02,1893,False,united states department of justice - united states marshals service, us
eow: sunday, september 3,1893,cause of death: gunfire,gunfire,1893-09-03,1893,False,mayville police department, nd
eow: sunday, september 3,1893,cause of death: gunfire,gunfire,1893-09-03,1893,False,united states department of justice - united states marshals service, us
eow: tuesday, september 5,1893,cause of death: animal related,animal related,1893-09-05,1893,False,new york police department, ny
eow: wednesday, september 6,1893,cause of death: gunfire,gunfire,1893-09-06,1893,False,hopkinsville police department, ky
eow: saturday, september 9,1893,cause of death: fall,fall,1893-09-09,1893,False,lafayette police department, in
eow: sunday, september 17,1893,cause of death: drowned,drowned,1893-09-17,1893,False,maryland board of public works - state fishery force, md
eow: tuesday, october 3,1893,cause of death: gunfire,gunfire,1893-10-03,1893,False,paducah police department, ky
eow: tuesday, october 10,1893,cause of death: gunfire,gunfire,1893-10-10,1893,False,new orleans police department, la
eow: monday, october 16,1893,cause of death: gunfire,gunfire,1893-10-16,1893,False,crestline police department, oh
eow: sunday, october 22,1893,cause of death: gunfire,gunfire,1893-10-22,1893,False,georgetown police department, ky
eow: thursday, october 26,1893,cause of death: gunfire,gunfire,1893-10-26,1893,False,winfield police department, ks
eow: saturday, november 11,1893,cause of death: gunfire,gunfire,1893-11-11,1893,False,grant county sheriff's department, ok
eow: monday, november 13,1893,cause of death: gunfire,gunfire,1893-11-13,1893,False,henry county sheriff's department, tn
eow: saturday, november 18,1893,cause of death: gunfire,gunfire,1893-11-18,1893,False,oxford county sheriff's office, me
eow: tuesday, november 21,1893,cause of death: gunfire,gunfire,1893-11-21,1893,False,ontonagon county sheriff's office, mi
eow: thursday, november 30,1893,cause of death: assault,assault,1893-11-30,1893,False,texas rangers, tx
eow: friday, december 8,1893,cause of death: gunfire,gunfire,1893-12-08,1893,False,chicago police department, il
eow: friday, december 8,1893,cause of death: gunfire,gunfire,1893-12-08,1893,False,hamilton county sheriff's department, tx
eow: monday, december 11,1893,cause of death: gunfire,gunfire,1893-12-11,1893,False,tyler county constable's office - precinct 2, tx
eow: thursday, december 14,1893,cause of death: gunfire,gunfire,1893-12-14,1893,False,marshall county constable's office, al
eow: saturday, december 23,1893,cause of death: stabbed,stabbed,1893-12-23,1893,False,indianapolis police department, in
eow: thursday, december 28,1893,cause of death: gunfire (accidental),gunfire (accidental),1893-12-28,1893,False,alexandria police department, va
eow: wednesday, january 3,1894,cause of death: gunfire,gunfire,1894-01-03,1894,False,dayton police department, ia
eow: thursday, january 18,1894,cause of death: stabbed,stabbed,1894-01-18,1894,False,colorado county constable's office - precinct 4, tx
eow: monday, january 29,1894,cause of death: assault,assault,1894-01-29,1894,False,union pacific railroad police department, rr
eow: wednesday, february 7,1894,cause of death: gunfire,gunfire,1894-02-07,1894,False,wharton county sheriff's department, tx
eow: saturday, february 10,1894,cause of death: gunfire,gunfire,1894-02-10,1894,False,savannah police department, ga
eow: monday, february 19,1894,cause of death: gunfire,gunfire,1894-02-19,1894,False,colorado county constable's office - precinct 8, tx
eow: monday, february 26,1894,cause of death: gunfire,gunfire,1894-02-26,1894,False,sumter county sheriff's office, al
eow: friday, march 2,1894,cause of death: gunfire,gunfire,1894-03-02,1894,False,new jersey department of corrections, nj
eow: tuesday, march 6,1894,cause of death: gunfire,gunfire,1894-03-06,1894,False,shreveport police department, la
eow: thursday, march 15,1894,cause of death: gunfire,gunfire,1894-03-15,1894,False,mcmullen county sheriff's office, tx
eow: tuesday, march 20,1894,cause of death: gunfire,gunfire,1894-03-20,1894,False,young county sheriff's office, tx
eow: thursday, april 5,1894,cause of death: gunfire,gunfire,1894-04-05,1894,False,texas rangers, tx
eow: saturday, april 7,1894,cause of death: gunfire,gunfire,1894-04-07,1894,False,como marshal's office, co
eow: wednesday, april 11,1894,cause of death: gunfire,gunfire,1894-04-11,1894,False,helena police department, mt
eow: thursday, april 12,1894,cause of death: gunfire (accidental),gunfire (accidental),1894-04-12,1894,False,salt lake city police department, ut
eow: friday, april 20,1894,cause of death: gunfire,gunfire,1894-04-20,1894,False,monroe police department, la
eow: tuesday, april 24,1894,cause of death: gunfire,gunfire,1894-04-24,1894,False,gunnison county sheriff's office, co
eow: thursday, april 26,1894,cause of death: stabbed,stabbed,1894-04-26,1894,False,milam county constable's office - precinct 4, tx
eow: saturday, april 28,1894,cause of death: gunfire,gunfire,1894-04-28,1894,False,missouri valley police department, ia
eow: saturday, april 28,1894,cause of death: gunfire,gunfire,1894-04-28,1894,False,shelby city police department, ky
eow: wednesday, may 9,1894,cause of death: gunfire,gunfire,1894-05-09,1894,False,united states department of justice - united states marshals service, us
eow: thursday, may 10,1894,cause of death: gunfire,gunfire,1894-05-10,1894,False,clay county sheriff's office, fl
eow: sunday, may 13,1894,cause of death: heart attack,heart attack,1894-05-13,1894,False,fairfield county sheriff's office, ct
eow: wednesday, may 16,1894,cause of death: gunfire,gunfire,1894-05-16,1894,False,southern pacific railroad police department, rr
eow: thursday, may 17,1894,cause of death: gunfire,gunfire,1894-05-17,1894,False,lincoln police department, ma
eow: wednesday, may 23,1894,cause of death: gunfire,gunfire,1894-05-23,1894,False,canadian county sheriff's office, ok
eow: monday, june 4,1894,cause of death: gunfire,gunfire,1894-06-04,1894,False,united states department of justice - united states marshals service, us
eow: sunday, june 17,1894,cause of death: gunfire,gunfire,1894-06-17,1894,False,united states department of the interior - bureau of indian affairs - division of law enforcement, us
eow: wednesday, june 20,1894,cause of death: struck by train,struck by train,1894-06-20,1894,False,baltimore city police department, md
eow: wednesday, july 4,1894,cause of death: gunfire,gunfire,1894-07-04,1894,False,butte police department, mt
eow: wednesday, july 4,1894,cause of death: gunfire,gunfire,1894-07-04,1894,False,new straitsville police department, oh
